,rated,turns,victory_status,winner,white_rating,black_rating,opening_eco,opening_ply,increment_code
191,1,136,2,2,1800,1826,B20,2,2
192,0,124,3,2,1283,1267,B30,5,1
193,1,96,2,2,1290,1270,A00,1,2
194,1,53,1,1,1331,1281,D00,4,2
195,1,39,3,1,1304,1292,A00,1,2
196,1,10,3,2,1305,1293,C00,3,2
197,1,51,3,1,1308,1317,C22,8,2
198,1,18,2,2,1296,1305,C54,13,2
199,0,106,3,2,968,1305,C50,8,2
200,0,38,3,2,1293,1466,C41,5,2
202,1,111,3,1,1288,1232,B12,3,2
203,1,28,2,2,1289,2108,C77,9,2
204,0,101,1,1,1431,1289,C22,6,2
205,0,15,3,1,1806,1289,C45,7,2
206,0,42,2,1,1289,1311,C41,5,2
207,0,118,2,2,1431,1289,A40,3,2
208,0,34,2,2,1289,1484,C50,6,2
209,0,60,2,2,1289,1810,A42,5,2
210,0,66,2,2,1806,1289,C44,5,2
212,1,73,3,1,1409,1297,C70,8,2
213,1,159,3,1,1280,1485,C55,6,2
214,0,74,2,1,1280,1211,B01,4,2
215,0,28,3,2,1211,1280,A00,3,2
216,1,112,3,2,1281,1765,C41,6,2
217,1,104,2,2,1288,1454,C42,4,2
218,1,40,3,2,1560,1270,D07,5,2
219,1,44,3,2,1274,1534,B27,4,2
220,1,150,0,0,1259,1663,C55,6,2
221,1,60,3,2,1614,1238,D02,5,2
222,1,37,3,1,1221,1417,C02,11,2
223,1,88,1,2,1222,1732,B32,7,2
224,1,113,3,1,1232,1234,C68,7,2
225,1,55,3,1,1240,1219,C42,8,2
226,1,135,3,1,1590,1600,A22,5,2
227,1,137,0,0,1568,1617,C50,5,2
229,0,33,2,2,1384,1325,B07,2,2
230,0,29,2,2,1384,1265,A06,3,2
231,0,55,2,2,1384,1950,A04,2,2
232,1,91,2,1,1377,1249,B01,4,2
233,1,53,2,1,1375,1389,C20,4,2
234,1,49,3,1,1378,1361,C41,5,2
235,1,48,3,2,1261,1371,B07,4,2
236,1,20,2,2,1380,1429,B30,4,2
237,1,87,3,1,1369,1368,C42,6,2
238,1,11,2,1,1290,1371,C77,9,2
239,1,110,0,0,1372,1326,B00,2,2
240,1,24,2,1,1361,1383,A00,1,2
241,1,23,2,1,1217,1399,A22,4,2
242,1,81,3,1,1387,1447,C60,5,3
243,0,34,2,2,1474,1387,B01,2,2
244,1,103,3,1,1377,1351,C41,4,2
245,1,29,2,2,1389,1339,C40,4,3
246,0,22,2,2,1389,1400,C41,4,3
247,0,38,2,1,1849,1389,C44,5,2
248,1,46,3,2,1395,1378,C50,9,1
249,1,23,1,1,1370,1257,C61,6,2
250,1,31,2,1,1360,1332,B00,5,2
251,0,51,2,1,1311,1360,C21,4,2
252,0,87,3,1,1714,1360,C64,6,2
253,1,31,3,1,1354,1217,C50,5,3
254,1,38,2,2,1245,1346,D20,5,2
255,0,43,2,1,1346,1099,C55,6,2
256,1,105,2,1,1336,1287,A07,4,2
257,0,87,1,1,1580,1555,A10,2,2
258,0,36,3,2,1555,1580,B40,6,2
259,1,38,2,2,1649,1547,C02,6,2
260,1,110,2,2,1426,1527,C00,3,1
261,1,48,2,2,1557,1547,C70,8,2
262,0,95,3,1,1557,1607,E20,5,2
263,0,70,3,2,1607,1557,A02,1,2
264,0,42,2,1,1557,1632,B32,7,2
265,1,177,1,1,1535,1609,C58,11,2
266,1,114,3,2,1713,1558,A00,2,2
267,1,57,2,1,1497,1730,B00,2,2
268,1,57,2,1,1437,1552,C50,5,2
269,0,82,0,0,1516,1552,A03,2,2
270,1,29,3,1,1513,1456,B54,5,2
271,1,70,2,2,1355,1478,C55,7,2
272,1,97,3,1,1638,1614,C55,6,2
273,1,99,2,1,1613,1934,B12,11,2
274,0,74,2,2,1865,1613,D03,5,2
275,1,48,3,2,1776,1587,D00,2,1
276,1,77,3,1,1568,1593,C10,6,2
277,1,80,2,2,1605,1546,B01,6,2
278,1,35,2,1,1518,1709,B00,5,1
279,1,33,2,1,1728,1527,D31,8,2
280,1,87,3,1,1515,1379,B01,4,2
281,1,40,2,2,1538,1501,B06,4,2
282,1,54,2,2,1511,1516,D30,4,2
283,1,67,2,2,1464,1495,C69,9,2
284,1,21,3,1,1470,1475,C40,4,2
285,1,14,3,2,1490,1440,C50,6,2
286,0,71,2,1,1611,1974,D41,18,2
287,1,72,1,2,1611,1945,E20,8,2
288,1,62,2,2,1584,1611,A31,5,2
289,1,48,2,2,1942,1611,A00,1,2
290,1,6,1,2,1217,1611,C46,6,2
291,1,69,0,0,1611,2059,D46,12,2
292,1,72,2,1,1611,1478,B27,4,2
293,1,40,3,2,1486,1552,C44,5,2
294,1,29,3,1,1453,1496,B06,2,2
295,1,44,2,1,1340,1326,A40,2,2
297,1,115,2,1,1560,1557,C34,6,2
298,1,70,2,2,1571,1577,A03,2,2
299,1,36,2,2,1580,1617,A03,2,2
300,1,83,2,1,1531,1593,C46,7,2
301,1,99,0,0,1449,1597,C48,9,2
302,1,43,2,1,1743,1604,C34,6,2
303,1,89,2,1,1604,1614,C48,8,2
304,1,96,2,2,1550,1605,D00,3,2
305,0,116,3,2,1630,1605,C42,8,2
306,0,78,3,2,1475,1605,A00,1,2
307,0,77,3,1,1605,1475,A02,1,2
308,0,70,3,2,1475,1605,C20,3,2
309,0,27,2,1,1570,1605,C42,7,2
313,0,74,2,2,1513,1605,C42,5,2
314,1,65,2,1,1790,1874,A00,1,2
315,1,81,2,1,1864,1805,B24,5,2
316,1,45,2,2,1496,1861,A45,3,2
317,1,52,2,1,1851,1853,C67,8,2
318,1,51,2,1,1861,1863,B11,4,2
319,1,48,0,0,1618,1609,C00,3,2
320,1,20,2,2,1620,1607,A00,1,2
321,1,50,3,2,1621,1496,B30,5,2
322,1,98,2,2,1633,1581,C41,5,2
323,1,106,3,2,1623,1623,C60,6,2
324,1,19,2,1,1612,1614,C50,5,2
325,1,22,2,1,1605,1624,C50,8,2
326,1,114,0,0,1693,1621,E61,4,2
327,1,69,2,2,1631,1684,B50,4,2
328,1,34,3,2,1636,1619,C53,8,2
329,1,40,3,2,1613,1617,C57,8,2
330,1,108,2,2,1627,1495,C50,6,2
331,1,27,2,1,1480,1643,C23,3,2
332,1,63,2,1,1631,1652,B30,5,2
333,1,31,2,1,1687,1641,C44,5,2
334,1,71,2,1,1630,1638,C55,6,2
335,1,92,3,2,1414,1624,C60,6,2
336,1,47,3,1,1619,1419,C57,7,2
337,1,56,2,2,1629,1659,C42,5,2
338,1,48,2,1,1649,1639,C23,3,2
339,1,124,2,2,1677,1627,A00,1,2
340,1,49,3,1,1705,1636,C45,8,2
341,1,64,2,2,1647,1635,B96,13,2
342,1,29,2,1,1637,1627,C53,7,2
343,1,45,2,1,1626,1631,C50,5,2
344,1,96,2,2,1602,1615,C34,6,2
345,1,92,2,2,1634,1603,C23,3,2
346,1,40,3,2,1611,1591,C50,9,2
347,1,123,3,1,1579,1623,C54,19,2
348,1,129,3,1,1995,1581,A05,4,2
349,1,120,3,2,1589,1569,D92,9,2
350,1,71,0,0,1570,1555,C55,6,2
351,1,97,3,1,1559,1557,C00,3,2
352,1,60,2,1,1546,1571,A45,2,2
353,1,57,2,1,1550,1567,B21,6,2
354,1,38,2,1,1560,1419,B12,5,2
355,1,111,2,1,1840,1564,C45,8,1
356,1,119,2,2,1660,1549,A49,4,2
357,1,33,3,1,1534,1678,C41,5,2
358,1,32,2,1,1789,1538,E10,6,2
359,1,96,2,2,1841,1921,C22,8,2
360,1,92,0,0,1926,1737,A04,2,2
361,1,64,2,2,1629,1887,D00,3,2
362,1,10,2,2,1860,1712,C37,7,2
364,1,40,2,2,1780,2132,B90,10,2
365,1,58,2,2,966,1124,B01,2,2
366,1,26,1,2,884,951,A01,2,2
367,1,4,1,2,945,1070,C40,3,2
368,1,118,3,2,971,1149,B00,3,2
369,1,11,3,1,1238,985,A00,1,2
370,1,163,1,0,972,1247,A20,2,2
371,1,95,3,1,1107,961,B00,4,2
372,1,37,2,2,974,1129,D00,3,2
373,1,101,3,1,1203,970,C21,3,2
374,1,80,1,2,998,937,C00,5,2
375,1,78,2,2,1016,1126,A00,1,2
376,1,89,1,0,1025,1153,C01,4,2
377,1,42,3,2,1047,1151,D02,4,2
378,1,8,1,2,998,1016,C44,6,2
379,1,101,1,1,1127,1044,C20,3,2
380,1,65,1,1,1020,1200,D02,3,2
381,1,60,3,2,1069,1071,D02,4,2
382,1,71,0,0,1071,1068,D00,3,2
383,1,44,2,2,1115,1223,D01,4,2
384,1,20,2,2,1190,1213,D01,4,2
385,1,41,2,1,1337,1337,C40,3,2
388,1,59,2,2,1367,1866,A00,1,2
389,1,19,3,1,1590,1373,B00,2,2
390,1,50,3,2,1377,1667,A00,1,2
391,1,34,2,2,1558,1358,C88,15,2
392,1,15,3,1,1476,1367,B00,2,2
393,1,52,2,2,1376,1469,A00,1,2
394,1,65,3,1,1460,1386,B00,2,2
395,1,67,2,1,1372,1408,C41,5,2
396,1,31,2,2,1373,2148,B40,4,2
398,1,125,3,1,1382,1414,C01,5,1
399,1,76,2,2,1320,1400,C00,3,2
400,1,121,2,1,1383,1330,A46,3,2
401,0,53,2,1,1383,1242,D02,3,2
402,1,116,1,2,1469,1357,C02,9,2
403,0,47,2,1,959,1357,A00,4,2
404,0,53,2,1,1357,959,D00,3,2
405,0,76,3,2,959,1357,A00,4,2
406,1,110,0,0,1588,1691,C50,8,2
407,1,67,3,1,1541,1586,B34,9,2
408,1,17,2,1,1517,1320,C40,4,3
409,1,39,3,1,1569,1569,A01,2,3
410,1,94,2,2,1563,1498,C03,5,2
411,1,37,2,1,1903,1512,E20,8,2
412,1,37,3,1,1612,1450,B13,5,2
413,0,34,2,1,1327,1450,B00,3,2
414,0,41,1,1,1245,1450,B12,5,2
415,0,30,2,2,1921,1451,C40,4,2
416,1,51,2,1,1462,1464,A00,3,2
417,1,79,3,1,1450,1486,C33,6,2
418,1,83,2,1,1439,1418,C33,5,2
420,1,21,2,1,1547,1563,B02,4,2
421,1,47,2,1,1863,1567,B02,2,2
422,1,38,2,1,1559,1423,A40,2,2
423,1,34,2,2,1570,1611,B06,7,2
424,1,39,2,1,1562,1582,B03,6,2
425,1,43,2,1,1576,1386,D00,3,2
426,1,41,3,1,1353,1595,B10,3,2
427,1,49,2,1,1591,1326,D00,3,2
428,1,38,1,2,1560,1580,B02,4,2
429,1,70,1,2,1727,1574,B01,4,2
430,1,48,2,2,1579,1841,E00,4,2
431,1,50,2,2,1877,1558,C11,11,2
432,1,57,2,1,1536,1962,A45,3,2
433,1,148,1,0,1529,1763,D00,3,2
434,1,62,3,2,1590,1515,B01,4,2
435,1,29,2,1,1653,1522,A80,2,2
436,1,52,3,2,1675,1505,B01,6,2
437,1,26,3,2,1547,1491,B01,6,2
438,1,59,2,2,1507,1399,A40,2,2
439,1,2,0,0,1641,1502,B01,2,2
440,1,195,0,0,1496,1703,A48,5,2
441,1,56,2,2,1482,1484,B01,4,2
442,1,40,2,2,1486,1909,A40,2,2
443,1,31,3,1,1919,1488,A11,2,2
444,1,60,2,2,1488,2192,A45,2,2
445,1,45,2,1,1470,1684,D00,3,2
446,1,63,0,0,1465,1659,A81,3,2
447,1,17,2,1,1586,1473,D02,5,2
448,1,34,2,1,1548,1488,B03,6,2
450,1,62,3,2,1509,1487,B05,8,2
451,1,46,0,0,1356,1491,B01,2,2
452,1,34,2,2,1495,1771,A45,2,2
453,1,38,2,1,1529,1639,C00,3,2
454,1,107,2,1,1631,1537,C41,6,2
455,1,42,2,2,1546,1621,B54,6,2
456,1,35,2,1,1568,1636,C00,5,2
457,1,122,3,2,1354,1631,C00,5,2
458,1,71,3,1,1626,1384,B53,7,2
459,1,42,2,2,1639,1813,B06,6,2
460,1,2,1,2,1646,1795,D00,2,2
461,1,11,2,1,1646,939,D10,4,2
462,1,54,2,2,1657,1678,B08,8,2
463,1,58,2,1,1667,1668,B06,5,2
464,1,42,2,2,1683,1599,C30,4,2
465,1,116,0,0,1596,1686,A40,2,2
466,1,74,3,2,1769,1659,A10,2,2
467,1,54,3,2,1668,1761,A40,2,2
468,1,85,2,1,1752,1677,A15,2,2
469,1,38,2,2,1688,1743,B43,10,2
470,1,41,2,1,1582,1704,C00,3,2
471,1,121,3,1,1693,1666,B53,7,2
472,1,30,2,2,1676,1680,C00,3,2
473,1,64,2,2,1142,1679,D00,3,2
474,1,15,3,1,1678,1148,C21,10,2
475,1,40,2,2,1154,1676,A00,1,2
476,1,128,0,0,1686,1098,B00,2,2
477,1,48,2,2,1102,1685,A00,1,2
478,1,51,3,1,1684,1107,C01,4,2
479,1,71,2,2,1493,1678,C00,2,2
480,1,60,2,1,1525,1693,D02,3,2
481,1,58,3,2,1709,1681,A40,2,2
482,1,60,2,2,1692,1699,A03,2,2
483,1,40,2,1,1688,1704,A10,2,2
484,1,29,1,1,1699,1497,A11,2,2
485,1,98,2,2,1703,1943,A15,2,2
486,1,71,2,2,1694,1692,C10,6,2
487,1,135,0,0,1696,1564,A10,2,2
488,1,34,3,2,1572,1688,C01,5,2
489,1,60,3,2,1392,1684,C07,6,2
490,1,47,2,2,1707,1696,A34,3,2
491,1,23,2,1,1684,1720,D08,7,2
492,1,78,3,2,1733,1672,A30,2,2
493,1,35,3,1,1721,1736,E61,6,2
494,1,53,2,1,1724,1733,A08,4,2
495,1,120,3,2,1746,1712,A11,2,2
496,1,41,3,1,1741,1496,A13,2,2
497,1,42,2,2,1295,1240,D11,7,2
498,1,63,2,1,1430,1302,D03,5,2
499,0,23,2,2,1302,1248,D06,4,2
500,1,32,2,2,1314,1270,D20,5,2
501,0,73,2,1,1445,1314,D31,5,2
502,1,90,2,2,1321,1451,D50,7,2
503,1,41,3,1,1300,1333,B52,6,2
504,1,43,2,1,1318,1449,D06,4,2
505,1,38,2,2,1450,1303,A73,17,2
506,1,41,3,1,1290,1367,D20,5,2
507,1,84,2,2,1300,1330,D35,9,2
508,1,56,2,2,1209,1291,A01,5,2
509,1,30,2,2,1299,1418,D31,6,2
510,0,6,2,1,1814,1299,C50,5,3
511,1,67,2,1,1348,1308,C20,3,2
512,1,56,2,2,1318,1366,D20,5,2
513,1,103,2,1,1324,1329,C44,6,2
514,1,40,3,2,1345,1187,D20,5,2
515,1,52,2,2,1352,1149,D31,5,2
516,1,57,0,0,1350,1429,D35,10,2
517,1,23,2,1,1403,1340,A40,3,2
518,1,39,3,1,1322,1072,D20,5,2
519,1,52,2,2,1331,1382,D08,4,2
520,1,41,2,1,1373,1341,D21,6,2
521,1,33,2,1,1350,1265,C44,5,2
522,1,58,2,2,1270,1299,D00,3,2
523,1,31,3,1,1223,1282,B01,4,2
524,1,15,2,1,1289,1306,C50,8,2
525,1,32,2,2,1007,1268,C50,6,2
526,1,45,2,1,1170,1179,C21,5,2
527,1,25,2,1,1442,1183,C70,8,2
528,1,15,2,1,1172,1170,C42,5,2
529,1,62,2,2,1178,1346,B18,8,2
530,1,59,2,1,1171,1190,C53,9,2
531,1,51,2,1,1175,1329,C78,10,2
532,1,22,2,2,1273,1160,D00,2,2
533,1,27,2,1,1154,974,C41,5,2
534,1,34,2,2,1167,1122,C65,6,2
535,1,79,1,1,1439,1171,C70,10,2
536,1,73,2,1,1245,1170,C53,9,2
537,1,74,3,2,1250,1156,A00,1,2
538,1,92,2,2,1164,1263,C70,8,2
539,1,26,2,2,1173,1251,B30,5,2
540,1,40,3,2,1089,1165,C50,6,2
541,1,77,2,1,1278,1173,C20,3,2
542,1,58,2,2,1178,1391,C64,6,2
543,1,51,3,1,1164,1293,C70,10,2
544,1,73,1,1,1353,1170,C53,7,2
545,1,50,3,2,1030,1162,D02,3,2
546,1,52,2,2,1176,1118,C42,4,2
547,1,11,3,1,1353,1181,C20,4,2
548,1,61,2,1,1184,1184,C44,5,2
549,1,19,2,1,1171,1252,C42,5,2
550,1,51,2,1,1157,1234,C55,7,2
551,1,12,2,2,1034,1149,D01,4,2
552,1,86,0,0,1156,886,C50,5,2
553,1,27,3,1,1142,1226,C00,3,2
554,1,86,3,2,1042,1133,C20,3,2
555,1,61,3,1,1123,1084,C40,6,2
556,1,53,3,1,1247,1122,C20,3,2
557,1,50,3,2,1070,1112,A00,1,2
558,1,16,2,1,1099,1173,C15,7,2
559,1,110,1,2,1114,1027,C00,5,2
560,1,45,3,1,914,1133,C46,5,2
561,1,93,3,1,1125,996,C42,5,2
562,1,105,2,1,1242,1125,C26,4,2
563,1,60,2,2,1133,1234,C50,6,2
564,1,58,3,2,981,1127,C70,6,2
565,1,65,3,1,1111,1219,C48,7,2
566,1,56,3,2,1126,1054,C41,5,2
567,1,64,2,2,1147,908,B00,4,2
568,1,4,2,2,914,1141,A00,1,2
569,1,58,2,2,1984,1948,B06,6,2
570,1,34,2,2,1954,2158,B23,3,2
571,0,101,2,1,2008,1954,A10,4,2
572,0,35,2,2,1954,2008,B23,5,2
573,0,54,2,2,2008,1954,A15,2,2
574,0,116,2,2,1954,2008,A01,2,2
575,1,115,3,1,2100,1960,A45,2,2
576,1,48,0,0,1945,1961,B01,6,2
577,1,56,0,0,1982,1960,B01,2,2
578,1,54,2,2,1974,1899,A01,2,2
579,1,37,2,1,2068,1982,B09,11,2
580,1,81,2,1,1959,2028,A01,1,2
581,1,45,2,1,2005,1969,A02,1,2
582,1,161,3,1,1960,1868,A01,2,2
583,1,88,2,2,1964,2287,B00,5,2
584,1,148,0,0,1914,1965,B01,4,2
585,1,119,3,1,1951,2049,A01,2,2
586,1,60,2,2,2149,1933,A52,7,2
587,1,34,3,2,1599,1929,B01,6,2
588,1,94,2,2,1882,1919,B01,6,2
589,1,122,3,2,1699,1914,B01,5,2
590,1,44,2,2,1916,2285,A01,2,2
591,1,26,2,2,1936,1638,A01,5,2
592,1,116,2,2,1758,1929,B01,4,2
593,1,31,2,1,1265,1957,B00,5,2
594,1,133,3,1,1954,1578,E90,9,2
595,0,65,2,1,1984,2050,B23,4,2
596,0,62,3,2,2050,1627,A06,2,2
597,0,62,2,2,1627,2050,C00,3,2
598,0,42,3,2,2050,1627,A04,2,2
599,0,42,2,2,1627,2050,B02,2,2
600,0,158,0,0,1617,2050,A48,5,2
601,0,31,2,1,2050,1852,B01,6,2
602,0,46,2,2,1981,2050,A15,4,2
603,0,20,2,2,2050,1981,B15,9,2
604,0,73,3,1,1901,1164,C70,8,2
605,0,35,3,1,1164,1435,B01,4,2
606,0,71,1,1,1435,1164,C50,7,2
607,0,46,2,1,1164,1435,C48,7,2
608,0,52,2,2,1164,1901,C48,8,2
609,1,52,1,2,1245,1228,C60,5,2
610,1,70,1,2,1287,1099,B20,2,2
611,0,49,2,1,1866,1099,D17,10,2
612,1,75,2,1,1211,1230,B20,2,2
617,1,52,3,2,1456,1604,D20,4,2
618,1,36,2,2,1378,1318,C00,3,2
620,1,65,2,1,1714,1709,A43,5,2
621,1,71,2,1,1613,1729,C02,9,2
622,1,50,2,2,1731,2127,B06,4,2
623,1,54,3,2,1739,1840,A65,11,2
624,1,76,3,2,1760,1718,C02,7,2
625,1,61,2,1,1708,1729,C02,8,2
626,1,53,2,1,1721,1643,D30,4,2
627,1,24,2,2,1707,1712,C07,7,2
628,1,64,3,2,1170,1662,B01,2,2
629,1,51,2,1,1261,1237,A00,1,2
630,1,71,3,1,1100,1306,A04,3,2
631,0,49,3,1,1590,1100,C41,7,2
632,0,34,3,2,1100,1590,A06,3,2
633,1,88,1,2,1302,875,C20,3,2
634,1,11,0,0,1234,1335,D02,4,2
636,1,86,2,2,2306,2405,C46,7,2
637,1,58,2,2,2422,2386,B22,8,2
638,1,50,2,2,2373,2356,B33,17,2
639,1,62,2,2,2325,2338,D02,5,2
640,1,39,2,1,2336,1830,C45,9,2
641,1,49,2,1,2334,1836,C61,6,2
642,1,43,2,1,2329,2017,A67,15,2
